"","EventID","ProjectID","Project_Name","LocationID","Site_Name","ISO_Country","Order","Family","Seabird_Name","Sci_Name","SpeciesAutoID","IUCNstat","Social_Attraction","SA_Status","Social_Attraction_Start","Social_Attraction_End","Translocation","Trans_Stat","Translocation_Start","Translocation_End","SA_Implementation","Trans_Implementation","Visitation_PreOperation","Visitation_Operation","Visitation_Yr1_SinceOperation","Breeding_PreOpCat","Breeding_PostOpCat","Breeding_Yr1","Breeding_YrLast","Breeding_Data_Yr","Stimuli_Attraction","Visitation_Translocation","Breeding_Translocated","Family_Common","Reintroductions","method","method_simpl","AllStartYr","AllEndYr","Allduration","SA_duration","Trans_duration","TimeSinceStart","stat_all","Latitude","Longitude","ISO3","Artificial_Location","Island_Mainland","Sensitive","Grouped_Sites","Invasive_Animals","Invasive_Animal_Management","Problematic_Native_Animals","Problematic_Native_Animal_Management","Lead_Organization","Primary_Justification","JustSimple","Legal_Mandate","Community_Engagement","Research","Restore_Ecosystem_Function","Species_Conservation","Other","Unknown","Justification_Other","Threat_Reduction_Justification_Primary","Threat_Reduction_Justification_Secondary","Project_Goal","Number_Target_Species","Data_Quality","References"
"11",1064,5,"Kaena Point Seabird Social Attraction",4,"Kaena Point Natural Area Reserve","US","Procellariiformes","Procellariidae","Hawaiian Petrel","Pterodroma sandwichensis",589,"EN",TRUE,"Complete",2014,2016,FALSE,"None",NA,NA,"Not Achieved",NA,"No","No",NA,"0","0",NA,NA,2021,"No",NA,NA,"Shearwaters & Petrels","Reintroduction","Social_Attraction","Social Attraction",2014,2016,2,2,NA,7,"Complete",21.574526,-158.276005,"USA","No","Island",FALSE,FALSE,"Yes","Ongoing","No","None","Pacific Rim Conservation","Species Conservation","Active Restoration",FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,NA,"Invasive Species","Climate Change","establish breeding colonies of seabirds, focusing especially on Black-footed Albatross",1,1,"Young&Vanderwerf, L. 2021, Personal Communication"
"12",1081,440,"Oahu Airstrip LAAL Egg Swap",4,"Kaena Point Natural Area Reserve","US","Procellariiformes","Diomedeidae","Laysan Albatross","Phoebastria immutabilis",827,"NT",FALSE,"None",NA,NA,TRUE,"Ongoing",2007,NA,NA,"Achieved","Yes","Yes",2007,"Breeding - Size Unknown","51 - 100",2007,2021,2021,NA,"Yes","Yes","Albatrosses","Reinforcement","Translocation","Translocation",2007,2021,14,NA,14,14,"Ongoing",21.574526,-158.276005,"USA","No","Island",FALSE,FALSE,"Yes","Ongoing","No","None","Pacific Rim Conservation; MCBH; USDA","Legal Mandate","Active Restoration",TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,NA,"Human-Wildlife Conflict","Unknown","bird airstrike hazard reduction",1,1,"Young, L. 2021. MCBH Egg Swap Dataset. ; Young&Vanderwerf, L. 2021, Personal Communication; Young, L. 2019, Personal Communication"
"13",1065,5,"Kaena Point Seabird Social Attraction",4,"Kaena Point Natural Area Reserve","US","Procellariiformes","Procellariidae","Bulwer's Petrel","Bulweria bulwerii",796,"LC",TRUE,"Complete",2014,2016,FALSE,"None",NA,NA,"Not Achieved",NA,"No","No",NA,"0","0",NA,NA,2021,"No",NA,NA,"Shearwaters & Petrels","Reintroduction","Social_Attraction","Social Attraction",2014,2016,2,2,NA,7,"Complete",21.574526,-158.276005,"USA","No","Island",FALSE,FALSE,"Yes","Ongoing","No","None","Pacific Rim Conservation","Species Conservation","Active Restoration",FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,NA,"Invasive Species","Climate Change","establish breeding colonies of seabirds, focusing especially on Black-footed Albatross",1,1,"Young&Vanderwerf, L. 2021, Personal Communication"
"14",1063,5,"Kaena Point Seabird Social Attraction",4,"Kaena Point Natural Area Reserve","US","Procellariiformes","Procellariidae","Christmas Shearwater","Puffinus nativitatis",810,"LC",TRUE,"Complete",2014,2016,FALSE,"None",NA,NA,"Not Achieved",NA,"No","No",NA,"0","0",NA,NA,2021,"No",NA,NA,"Shearwaters & Petrels","Reintroduction","Social_Attraction","Social Attraction",2014,2016,2,2,NA,7,"Complete",21.574526,-158.276005,"USA","No","Island",FALSE,FALSE,"Yes","Ongoing","No","None","Pacific Rim Conservation","Species Conservation","Active Restoration",FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,NA,"Invasive Species","Climate Change","establish breeding colonies of seabirds, focusing especially on Black-footed Albatross",1,1,"Young&Vanderwerf, L. 2021, Personal Communication"
"15",11,6,"PMRF Albatross Egg Swap Program",4,"Kaena Point Natural Area Reserve","US","Procellariiformes","Diomedeidae","Laysan Albatross","Phoebastria immutabilis",827,"NT",FALSE,"None",NA,NA,TRUE,"Ongoing",2017,NA,NA,"Achieved","Yes","Yes",2017,"51 - 100","51 - 100",2017,2021,2021,NA,"No","No","Albatrosses","Reinforcement","Translocation","Translocation",2017,2021,4,NA,4,4,"Ongoing",21.574526,-158.276005,"USA","No","Island",FALSE,FALSE,"Yes","Ongoing","No","None","US Navy; Pacific Rim Conservation; USFWS; USDA","Species Conservation","Active Restoration",TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,NA,"Human-Wildlife Conflict","Invasive Species","U.S. Navy requirement to reduce the bird air strike hazard(BASH)to aircraft by placing fertile eggs from PMRF into foster nests on private properties on  north shore of Kauai in which the natural egg was not fertile",1,1,"Vanderwerf, E. 2021, Personal Communication; Vanderwerf, E. 2020. 2020 PMRF ALBATROSS EGG SWAP FINAL REPORT. ; Young, L. 2019, Personal Communication"
"16",7,5,"Kaena Point Seabird Social Attraction",4,"Kaena Point Natural Area Reserve","US","Procellariiformes","Diomedeidae","Black-footed Albatross","Phoebastria nigripes",826,"NT",TRUE,"Ongoing",2011,NA,FALSE,"None",NA,NA,"Achieved",NA,"Yes","Yes",2011,"0","1 - 10",2021,2021,2021,"Yes",NA,NA,"Albatrosses","Reintroduction","Social_Attraction","Social Attraction",2011,2021,10,10,NA,10,"Ongoing",21.574526,-158.276005,"USA","No","Island",FALSE,FALSE,"Yes","Ongoing","No","None","Pacific Rim Conservation","Species Conservation","Active Restoration",FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,NA,"Invasive Species","Climate Change","establish breeding colonies of seabirds, focusing especially on Black-footed Albatross",1,1,"Young, L. 2021, Personal Communication; Dittmar, E. 2021, Personal Communication; Young, L. 2016. The beginning of Black-footed Albatross colonization on Oʻahu, Hawaiʻi. 'Elepaio"
"17",67,21,"Desecheo National Wildlife Refuge Seabird Restoration",6,"Desecheo National Wildlife Refuge","US","Charadriiformes","Laridae","Brown Noddy","Anous stolidus",681,"LC",TRUE,"Ongoing",2018,NA,FALSE,"None",NA,NA,"Achieved",NA,"No","Yes",NA,"0","0",NA,NA,2019,"No",NA,NA,"Gulls & Terns","Reintroduction","Social_Attraction","Social Attraction",2018,2021,3,3,NA,3,"Ongoing",18.384956,-67.482789,"PRI","No","Island",FALSE,FALSE,"Yes","None","No","None","Effective Environmental Restoration;Island Conservation;USFWS;TNC","Restore Ecosystem Function","Active Restoration",FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,NA,"Habitat Loss","Invasive Species","restore nesting habitat for Bridled Tern and Audubon's Shearwater; increase seabird populations through social attraction strategies, using acoustic playback, decoys, and mirrors",3,1,"Ventosa-Febles, E. 2020, Personal Communication; Ventosa, E. 2020, Personal Communication; Schubal, S. 2019. Social Attraction Tools Database. ; Ventosa-Febles, E. 2019. Maintaining the Biosecurity of Desecheo NWR and Colonial Seabird Restoration Program -2018/2019 Annual Report. Effective Environmental Restoration; Heber, E. 2019. Social Attraction—Bringing Seabirds Back to Desecheo Island. Island Conservation; Island Conservation. 2016. Desecheo Island Seabird Restoration Report to NFWF. ; Schubal, S. 2013. Murremaid Music Boxes Database. ; U.S. Fish and Wildlife Service. 2011. Desecheo Island National Wildlife Refuge - Rat Eradication to Promote Ecosystem Restoration Final Environmental Assessment."
"18",66,21,"Desecheo National Wildlife Refuge Seabird Restoration",6,"Desecheo National Wildlife Refuge","US","Charadriiformes","Laridae","Bridled Tern","Onychoprion anaethetus",678,"LC",TRUE,"Ongoing",2017,NA,FALSE,"None",NA,NA,"Partially Achieved",NA,"No","Yes",2018,"0","0",NA,NA,2019,"No",NA,NA,"Gulls & Terns","Reintroduction","Social_Attraction","Social Attraction",2017,2021,4,4,NA,4,"Ongoing",18.384956,-67.482789,"PRI","No","Island",FALSE,FALSE,"Yes","None","No","None","Effective Environmental Restoration;Island Conservation;USFWS;TNC","Restore Ecosystem Function","Active Restoration",FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,NA,"Habitat Loss","Invasive Species","restore nesting habitat for Bridled Tern and Audubon's Shearwater; increase seabird populations through social attraction strategies, using acoustic playback, decoys, and mirrors",3,1,"Spatz, D. 2020, Personal Communication; Herrera, JL. 2020, Personal Communication; Silander, S. 2020. Using social attraction techniques to restore seabirds on Desecheo Island, Puerto Rico. ; Schubal, S. 2019. Social Attraction Tools Database. ; Heber, E. 2019. Social Attraction—Bringing Seabirds Back to Desecheo Island. Island Conservation; Island Conservation. 2016. Desecheo Island Seabird Restoration Report to NFWF. ; U.S. Fish and Wildlife Service. 2011. Desecheo Island National Wildlife Refuge - Rat Eradication to Promote Ecosystem Restoration Final Environmental Assessment."
"19",64,21,"Desecheo National Wildlife Refuge Seabird Restoration",6,"Desecheo National Wildlife Refuge","US","Procellariiformes","Procellariidae","Audubon's Shearwater","Puffinus lherminieri",887,"LC",TRUE,"Ongoing",2017,NA,FALSE,"None",NA,NA,"Achieved",NA,"No","Yes",2018,"0","0",NA,NA,2019,"Yes",NA,NA,"Shearwaters & Petrels","Reintroduction","Social_Attraction","Social Attraction",2017,2021,4,4,NA,4,"Ongoing",18.384956,-67.482789,"PRI","No","Island",FALSE,FALSE,"Yes","None","No","None","Effective Environmental Restoration;Island Conservation;USFWS;TNC","Restore Ecosystem Function","Active Restoration",FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,NA,"Habitat Loss","Invasive Species","restore nesting habitat for Bridled Tern and Audubon's Shearwater; increase seabird populations through social attraction strategies, using acoustic playback, decoys, and mirrors",3,1,"Spatz, D. 2020, Personal Communication; Silander, S. 2020. Using social attraction techniques to restore seabirds on Desecheo Island, Puerto Rico. ; Herrera, JL. 2020, Personal Communication; Heber, E. 2019. Social Attraction—Bringing Seabirds Back to Desecheo Island. Island Conservation; Island Conservation. 2016. Desecheo Island Seabird Restoration Report to NFWF. ; Schubal, S. 2013. Murremaid Music Boxes Database."
"20",33,11,"Mana Island Ecological Restoration",8,"Mana Island Scientific Reserve","NZ","Procellariiformes","Procellariidae","Fluttering Shearwater","Puffinus gavia",814,"LC",TRUE,"Ongoing",1993,NA,TRUE,"Complete",2006,2008,"Achieved","Achieved","No","Yes",2009,"0","11 - 50",2010,2020,2020,"Yes","Yes","Yes","Shearwaters & Petrels","Reintroduction","Both","Translocation",1993,2021,28,28,2,28,"Ongoing",-41.09244,174.772634,"NZL","No","Island",FALSE,FALSE,"No","Complete","Yes","Ongoing","Friends of Mana Island (FOMI);NZ-DOC","Restore Ecosystem Function","Active Restoration",FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,NA,"Habitat Loss","Invasive Species","comprehensive ecological restoration programme, including re-establish self-sustaining seabird colonies",4,1,"Gummer, H. 2020. 2019/20 Fluttering Shearwater Annual Report. Friends of Mana Island; Gummer, H. 2020, Personal Communication; Friends of Mana Island. 2019. FOMI Performance Report 2019. ; Friends of Mana Island. 2019. Friends of Mana Island News, Newsletter #79. ; Miskelly, C. 2019. Mana Island petrel colony eBird Checklist. ; Friends of Mana Island. 2018. FOMI newsletter april 2018. ; Friends of Mana Island. 2017. FOMI Performance Report 2017. ; Gummer, H. 2015. Report on the 2015 supplementary translocation of fairy prion ( titiwainui ) chicks from Takapouwera ( Stephens Island ) to Mana Island. ; Gummer, H. 2014. Report on transfer and fledging of fluttering shearwater chicks (Puffinus gavia) moved from Long Island to Matiu/Somes Island in 2012-2014. ; Miskelly, C. 2010. Mana Island ecological restoration plan review. ; Gummer, H. 2010. Translocation techniques for fluttering shearwaters (Puffinus gavia): establishing a colony on Mana Island, New Zealand. ; Miskelly, C. 2009. Translocations of eight species of burrow-nesting seabirds (genera Pterodroma, Pelecanoides, Pachyptila and Puffinus: Family Procellariidae). Biological Conservation"
"21",92,11,"Mana Island Ecological Restoration",8,"Mana Island Scientific Reserve","NZ","Procellariiformes","Oceanitidae","White-faced Storm-petrel","Pelagodroma marina",837,"LC",TRUE,"Ongoing",2018,NA,TRUE,"Complete",2019,2021,"Achieved","Achieved","Yes","Yes",2018,"1 - 10","1 - 10",2019,2020,2020,"Unknown","No","No","Storm-petrels","Reinforcement","Both","Translocation",2018,2021,3,3,2,3,"Ongoing",-41.09244,174.772634,"NZL","No","Island",FALSE,FALSE,"No","Complete","Yes","Ongoing","Friends of Mana Island (FOMI);NZ-DOC","Restore Ecosystem Function","Active Restoration",FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,NA,"Habitat Loss","Invasive Species","comprehensive ecological restoration programme, including re-establish self-sustaining seabird colonies",4,1,"Michell, C. 2021. THIRD TRANSFER OF WHITE-FACED STORM PETREL (Pelagodroma marina maoriana, Rōrō, Takahikare-Moana) CHICKS FROM HOKOREREORO/ RANGATIRA/ SOUTH EAST ISLAND TO MANA ISLAND IN FEBRUARY 2021 (SUMMARY REPORT). Friends of Mana Island; Mitchell, C. 2021, Personal Communication; Miskelly, C. 2020. Monitoring of translocated seabirds on Mana Island, October 2020. ; Mitchell, C. 2020. SECOND TRANSFER OF WHITE-FACED STORM PETREL: SUMMARY REPORT. ; Mitchell, C. 2020, Personal Communication; Mitchell, C. 2019. Report on the translocation of white- faced storm petrel (rōrō , takahikare- moana) chicks from South East Island (Hokorereora/Rangatira) to Mana Island in February 2019. ; Friends of Mana Island. 2019. Friends of Mana Island News, Newsletter #79."
